Distance,LG,LL,LLG,LLL,None,Bus,Ia,Ib,Ic,Va,Vb,Vc
35,0,0,1,0,0,2,66.014,133.02,143.74,7739,7036.2,6877
40,1,0,0,0,0,2,133.14,67.025,66.819,7001.8,7697.2,7746.5
40,0,0,1,0,0,2,66.05,301.89,310.33,7693.4,5808.3,6467.3
70,0,0,1,0,0,3,691.99,152.1,184.12,6129.1,2351.7,1424.8
10,1,0,0,0,0,2,369.69,67.098,59.57,4481.1,7636.3,7942.2
70,1,0,0,0,0,2,86.62,67.415,68.019,7503.1,7704.8,7710.2
45,0,0,1,0,0,1,726.28,882.53,913.12,36348,35701,35549
45,0,1,0,0,0,1,723.35,930.2,1064.4,36366,35792,34588
25,0,0,0,0,1,2,67.551,67.551,67.551,7707,7707,7707
75,0,0,0,1,0,1,1030.6,1030.7,1030.7,34716,34713,34720
80,0,0,0,1,0,2,195.44,195.44,195.44,7046.2,7046.2,7046.2
55,0,0,0,0,1,2,67.55,67.55,67.55,7707,7707,7707
40,0,0,1,0,0,1,725.81,903.28,937.77,36350,35644,35474
80,1,0,0,0,0,2,111.55,66.664,70.085,7274.5,7705.5,7697.1
55,0,0,0,1,0,3,22.331,22.331,22.331,1217,1217,1217
25,0,0,0,0,1,1,723.38,723.38,723.38,36364,36364,36364
60,1,0,0,0,0,3,263.73,691.9,706.56,2992.8,6059.6,6288.8
40,0,0,0,1,0,3,620.81,620.81,620.81,5698,5698,5698
75,0,0,0,1,0,3,668.86,668.86,668.86,6006.4,6006.4,6006.4
15,0,0,1,0,0,1,709.93,2111.4,2397.7,36426,30951,28856
40,0,0,0,1,0,3,663.06,663.06,663.06,5949,5949,5949
10,0,0,1,0,0,1,687.46,3848.6,3869.5,36549,20047,20014
45,0,1,0,0,0,3,701.03,708.54,637.86,6149.4,6281.8,5729.3
35,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
20,0,0,0,0,1,3,701.03,701.03,701.03,6149.4,6149.4,6149.4
90,0,0,1,0,0,1,725.67,743.11,742.88,36352,36262,36261
85,0,0,0,1,0,3,15.385,15.385,15.385,1242.7,1242.7,1242.7
