Distance,LG,LL,LLG,LLL,Ia,Ib,Ic,Va,Vb,Vc
25,1,0,0,0,1993.5,707.95,725.19,29617,36450,36346
80,1,0,0,0,902.6,714.77,740.4,35389,36398,36278
70,1,0,0,0,986.07,714.88,738.32,34946,36394,36290
70,0,0,0,1,884.83,884.8,884.81,35560,35559,35562
25,0,0,0,1,839.43,839.43,839.43,35976,35976,35976
10,1,0,0,0,1552.6,707.85,733.57,33833,36446,36302
85,0,0,1,0,725.78,747.96,748.48,36352,36240,36235
85,0,0,0,1,810.51,810.51,810.51,35907,35906,35907
35,0,0,0,1,1786.6,1786.6,1786.6,30852,30850,30853
35,0,0,0,1,1914.2,1914.2,1914.2,30042,30039,30042
10,0,1,0,0,723.37,737.28,923.61,36364,36668,35470
45,0,0,1,0,725.22,799.96,807.36,36354,36051,36019
70,0,1,0,0,723.33,1006.4,963.86,36367,34977,35080
70,0,1,0,0,723.33,828.49,865.74,36367,35932,35594
25,0,0,1,0,712.33,2289.5,2269,36418,28133,28378
90,0,1,0,0,723.37,753.79,751.75,36365,36216,36204
55,0,0,0,1,1339.7,1339.7,1339.7,33081,33082,33076
10,1,0,0,0,3456.9,695.69,709.96,21864,36539,36412
25,0,0,1,0,723.79,978.25,1018.1,36359,35482,35322
20,0,1,0,0,723.36,765.49,949.71,36365,36563,35314
80,0,0,1,0,729.97,821.83,830.82,36328,35861,35802
55,1,0,0,0,1161.6,714.07,735.43,34019,36408,36299
35,0,1,0,0,723.42,763.53,888.21,36365,36391,35566
45,0,1,0,0,723.35,1344.4,1343,36366,33613,33136
35,1,0,0,0,1161.9,718.95,729.95,34412,36389,36325
30,0,0,1,0,716.01,2023.7,1996.8,36398,29515,29783
80,0,1,0,0,723.34,972.99,860.49,36366,35041,35667
50,0,1,0,0,723.39,905.08,1016.2,36365,35802,34829
35,0,1,0,0,723.42,1744.1,1642.7,36365,31423,32069
45,0,0,1,0,726.72,1023.7,1102.9,36344,35052,34585
65,0,0,0,1,1165.2,1165.2,1165.2,34006,34010,33996
45,1,0,0,0,1333.6,713.1,733.12,33108,36412,36313
50,0,1,0,0,723.39,1357.4,1250.8,36365,33187,33834
70,1,0,0,0,986.03,714.68,738.37,34947,36395,36290
65,0,0,1,0,725.83,770.56,774.57,36351,36143,36130
75,0,0,1,0,728.88,1019.5,975.22,36330,34775,35031
90,0,0,0,1,860.74,860.76,860.75,35611,35610,35609
90,0,0,0,1,750.57,750.57,750.57,36221,36221,36221
10,0,1,0,0,723.37,3611.2,3523.3,36364,23977,24450
60,0,1,0,0,723.38,1022.6,1047.5,36365,35053,34625
15,0,1,0,0,723.37,2463.2,2596.9,36364,31151,26488
30,1,0,0,0,1762,709.79,728.01,30840,36439,36332
75,1,0,0,0,791.6,724.9,726.48,36026,36357,36347
30,0,1,0,0,723.38,1470.3,1613.6,36365,34030,31627
25,0,1,0,0,723.39,1060.4,1310.5,36365,35994,33433
85,0,1,0,0,723.38,849.88,822.17,36365,35728,35814
50,1,0,0,0,1008.1,722.07,729.83,35002,36368,36331
90,0,0,0,1,762.31,762.32,762.31,36158,36158,36158
25,1,0,0,0,1896.8,708,729.11,30263,36446,36326
80,0,0,0,1,755.01,755,755.01,36207,36207,36207
50,0,0,0,1,795.2,795.2,795.2,36062,36062,36062
20,0,1,0,0,723.36,2501.9,2412.7,36365,28232,28716
10,1,0,0,0,3446.6,694.99,711.03,21917,36542,36407
90,0,0,1,0,726.33,749.06,748.79,36349,36230,36229
10,0,1,0,0,723.37,3586,3515.8,36364,24388,24164
25,1,0,0,0,843.63,721.59,725.92,35948,36372,36351
